Filename,Cell,Group,Young's Modulus [Pa],Contact Point [m],Baseline [N],ResidualRMS [N]
force-save-2011.03.22-18.41.44.jpk-force,1,Control,160.643,1.06746e-05,5.13708e-11,1.27769e-11
force-save-2011.03.22-18.43.08.jpk-force,1,Control,167.360,1.05871e-05,4.69201e-11,1.38759e-11
force-save-2011.03.22-18.44.32.jpk-force,1,Control,164.489,1.04960e-05,7.02197e-11,1.32807e-11
force-save-2011.03.22-18.45.56.jpk-force,1,Control,144.339,1.03321e-05,9.05728e-11,1.33739e-11
force-save-2011.03.22-18.47.20.jpk-force,1,Control,137.977,1.03473e-05,1.09622e-10,1.48141e-11
force-save-2011.03.22-18.51.30.jpk-force,2,Control,227.299,1.14096e-05,2.10193e-10,1.58549e-11
force-save-2011.03.22-18.52.54.jpk-force,2,Control,240.999,1.12214e-05,2.47963e-10,1.44130e-11
force-save-2011.03.22-18.54.18.jpk-force,2,Control,242.625,1.11548e-05,1.49700e-11,1.53240e-11
force-save-2011.03.22-18.55.42.jpk-force,2,Control,193.844,1.14772e-05,5.56313e-11,1.18497e-11
force-save-2011.03.22-18.57.06.jpk-force,2,Control,197.974,1.13411e-05,1.02864e-10,1.57699e-11
force-save-2011.03.22-19.00.20.jpk-force,3,Control,210.627,1.25629e-05,2.21936e-10,1.53024e-11
force-save-2011.03.22-19.01.44.jpk-force,3,Control,207.777,1.22799e-05,2.47148e-10,1.37720e-11
force-save-2011.03.22-19.03.08.jpk-force,3,Control,178.886,1.25481e-05,2.81532e-10,1.55373e-11
force-save-2011.03.22-19.04.32.jpk-force,3,Control,164.101,1.28175e-05,3.17819e-10,1.25197e-11
force-save-2011.03.22-19.05.56.jpk-force,3,Control,171.212,1.30490e-05,3.55611e-10,1.22751e-11
force-save-2011.03.22-19.10.01.jpk-force,4,Control,448.870,1.06938e-05,1.87806e-10,1.89095e-11
force-save-2011.03.22-19.11.26.jpk-force,4,Control,511.185,1.05039e-05,2.11195e-10,2.45874e-11
force-save-2011.03.22-19.12.50.jpk-force,4,Control,376.186,1.04812e-05,2.12785e-10,2.03578e-11
force-save-2011.03.22-19.14.14.jpk-force,4,Control,352.977,1.06955e-05,2.18659e-10,1.61605e-11
force-save-2011.03.22-19.15.38.jpk-force,4,Control,270.996,1.07641e-05,2.14902e-10,1.78208e-11
force-save-2011.03.22-19.18.17.jpk-force,5,Control,873.065,9.97032e-06,2.75298e-10,1.91419e-11
force-save-2011.03.22-19.19.42.jpk-force,5,Control,909.683,9.77348e-06,3.24969e-10,1.67809e-11
force-save-2011.03.22-19.21.06.jpk-force,5,Control,976.700,9.50262e-06,3.76695e-10,1.88121e-11
force-save-2011.03.22-19.22.30.jpk-force,5,Control,664.451,9.51973e-06,4.00993e-10,1.29916e-11
force-save-2011.03.22-19.23.54.jpk-force,5,Control,766.371,9.71482e-06,4.24843e-10,1.86907e-11
force-save-2011.03.22-19.26.17.jpk-force,6,Control,470.664,1.05894e-05,-4.47297e-12,1.76397e-11
force-save-2011.03.22-19.27.41.jpk-force,6,Control,520.489,1.05355e-05,2.25213e-11,1.51768e-11
force-save-2011.03.22-19.29.05.jpk-force,6,Control,515.224,1.02154e-05,5.60815e-11,1.70129e-11
force-save-2011.03.22-19.30.29.jpk-force,6,Control,455.784,1.02698e-05,1.21946e-10,1.54221e-11
force-save-2011.03.22-19.31.53.jpk-force,6,Control,513.893,1.02607e-05,1.68613e-10,2.00330e-11
force-save-2011.03.22-19.34.24.jpk-force,7,Control,501.737,1.12720e-05,3.56584e-10,2.24864e-11
force-save-2011.03.22-19.35.48.jpk-force,7,Control,402.898,1.11130e-05,5.23087e-10,3.82105e-11
force-save-2011.03.22-19.37.12.jpk-force,7,Control,375.977,1.11429e-05,5.88272e-10,2.03455e-11
force-save-2011.03.22-19.38.36.jpk-force,7,Control,395.904,1.12129e-05,4.51848e-11,1.99321e-11
force-save-2011.03.22-19.40.00.jpk-force,7,Control,385.253,1.12664e-05,8.00560e-11,1.81813e-11
force-save-2011.03.22-19.43.38.jpk-force,8,Control,347.131,1.08087e-05,2.03769e-10,1.21580e-11
force-save-2011.03.22-19.45.01.jpk-force,8,Control,334.710,1.07646e-05,2.50125e-10,1.28855e-11
force-save-2011.03.22-19.46.25.jpk-force,8,Control,315.574,1.12466e-05,2.93747e-10,1.42029e-11
force-save-2011.03.22-19.47.49.jpk-force,8,Control,320.675,1.11002e-05,3.51431e-10,1.68752e-11
force-save-2011.03.22-19.49.13.jpk-force,8,Control,380.299,1.06099e-05,4.58006e-10,1.93320e-11
force-save-2011.03.22-19.51.24.jpk-force,9,Control,1101.83,1.02362e-05,5.06244e-10,2.54443e-11
force-save-2011.03.22-19.52.48.jpk-force,9,Control,776.200,1.02802e-05,5.56687e-10,3.50101e-11
force-save-2011.03.22-19.54.12.jpk-force,9,Control,957.749,1.02183e-05,8.56966e-11,2.12955e-11
force-save-2011.03.22-19.55.36.jpk-force,9,Control,730.016,1.02377e-05,1.01841e-10,1.84264e-11
force-save-2011.03.22-19.57.00.jpk-force,9,Control,797.152,1.01468e-05,1.59894e-10,2.16294e-11
force-save-2011.03.22-19.59.46.jpk-force,10,Control,1161.76,1.07370e-05,7.23748e-11,3.12027e-11
force-save-2011.03.22-20.01.10.jpk-force,10,Control,1028.64,1.06716e-05,1.19624e-10,2.75621e-11
force-save-2011.03.22-20.02.34.jpk-force,10,Control,1039.84,1.08181e-05,1.26030e-10,3.28968e-11
force-save-2011.03.22-20.03.58.jpk-force,10,Control,897.711,1.10831e-05,1.72463e-10,2.86825e-11
force-save-2011.03.22-20.05.22.jpk-force,10,Control,782.496,1.11281e-05,2.40742e-10,3.08946e-11
force-save-2014.05.23-17.50.39.jpk-force,11,Control,143.848,9.47573e-05,-1.32010e-10,1.27294e-11
force-save-2011.03.31-22.36.58.jpk-force,5,Treated,605.979,2.07361e-05,1.50213e-10,2.48043e-11
force-save-2011.03.31-22.38.22.jpk-force,5,Treated,381.520,2.12675e-05,1.65397e-10,2.33271e-11
force-save-2011.03.31-22.39.45.jpk-force,5,Treated,552.746,2.10469e-05,1.74517e-10,1.52192e-11
force-save-2011.03.31-22.41.10.jpk-force,5,Treated,508.115,2.10534e-05,1.92392e-10,3.76833e-11
force-save-2011.03.31-22.42.34.jpk-force,5,Treated,574.897,2.13025e-05,1.78552e-10,2.57083e-11
force-save-2011.03.31-22.45.17.jpk-force,6,Treated,769.295,1.51557e-05,2.60470e-10,2.41552e-11
force-save-2011.03.31-22.46.42.jpk-force,6,Treated,835.308,1.52445e-05,-1.22638e-11,2.81854e-11
force-save-2011.03.31-22.48.06.jpk-force,6,Treated,838.737,1.54961e-05,1.45839e-11,3.83696e-11
force-save-2011.03.31-22.49.30.jpk-force,6,Treated,885.730,1.56932e-05,4.37252e-11,3.68438e-11
force-save-2011.03.31-22.50.54.jpk-force,6,Treated,626.176,1.60976e-05,8.02276e-11,2.71171e-11
force-save-2011.03.31-22.53.24.jpk-force,7,Treated,1400.37,1.11540e-05,1.26778e-10,1.78822e-11
force-save-2011.03.31-22.54.49.jpk-force,7,Treated,1841.92,1.12287e-05,1.25954e-10,1.50943e-11
force-save-2011.03.31-22.56.13.jpk-force,7,Treated,1964.58,1.12784e-05,1.77025e-10,2.87832e-11
force-save-2011.03.31-22.57.37.jpk-force,7,Treated,1777.95,1.13289e-05,1.67346e-10,1.70096e-11
force-save-2011.03.31-22.59.01.jpk-force,7,Treated,1823.08,1.12704e-05,1.86459e-10,1.58360e-11
force-save-2011.03.31-23.38.32.jpk-force,12,Treated,833.028,1.17220e-05,2.10503e-10,2.66130e-11
force-save-2011.03.31-23.39.56.jpk-force,12,Treated,846.978,1.16993e-05,2.11721e-10,3.32722e-11
force-save-2011.03.31-23.42.44.jpk-force,12,Treated,832.790,1.19303e-05,2.10102e-10,2.91671e-11
force-save-2011.03.31-23.44.08.jpk-force,12,Treated,786.564,1.17174e-05,2.22372e-10,2.35971e-11
