Data Set,Fit Range,Baseline (pN),Contact Point (Âµm),Elastic Modulus (Pa)
force-save-2011.03.22-18.41.44.jpk-force,Wide,49.99,10.68,159.8
force-save-2011.03.22-18.43.08.jpk-force,Wide,46.74,10.59,167.3
force-save-2011.03.22-18.44.32.jpk-force,Wide,70.25,10.5,164.5
force-save-2011.03.22-18.45.56.jpk-force,Wide,90.7,10.33,144.4
force-save-2011.03.22-18.47.20.jpk-force,Wide,109.6,10.35,138
force-save-2011.03.22-18.51.30.jpk-force,Wide,208.8,11.52,227.3
force-save-2011.03.22-18.52.54.jpk-force,Wide,248,11.22,241
force-save-2011.03.22-18.54.18.jpk-force,Wide,15.22,11.15,242.8
force-save-2011.03.22-18.55.42.jpk-force,Wide,55.56,11.48,193.8
force-save-2011.03.22-18.57.06.jpk-force,Wide,103,11.34,198.1
force-save-2011.03.22-19.00.20.jpk-force,Wide,221.9,12.56,210.6
force-save-2011.03.22-19.01.44.jpk-force,Wide,247.1,12.28,207.8
force-save-2011.03.22-19.03.08.jpk-force,Wide,281.5,12.55,178.9
force-save-2011.03.22-19.04.32.jpk-force,Wide,317.8,12.82,164.1
force-save-2011.03.22-19.05.56.jpk-force,Wide,355.6,13.05,171.2
force-save-2011.03.22-19.10.01.jpk-force,Wide,187.8,10.69,448.9
force-save-2011.03.22-19.11.26.jpk-force,Wide,213.7,10.5,513.6
force-save-2011.03.22-19.12.50.jpk-force,Wide,212.8,10.48,376.2
force-save-2011.03.22-19.14.14.jpk-force,Wide,218.6,10.7,353
force-save-2011.03.22-19.15.38.jpk-force,Wide,215,10.76,271
force-save-2011.03.22-19.18.17.jpk-force,Wide,275.4,9.97,873.2
force-save-2011.03.22-19.19.42.jpk-force,Wide,325,9.773,909.7
force-save-2011.03.22-19.21.06.jpk-force,Wide,376.7,9.503,976.7
force-save-2011.03.22-19.22.30.jpk-force,Wide,401,9.52,664.5
force-save-2011.03.22-19.23.54.jpk-force,Wide,427.9,9.712,770.8
force-save-2011.03.22-19.26.17.jpk-force,Wide,-4.773,10.59,470.4
force-save-2011.03.22-19.27.41.jpk-force,Wide,22.66,10.54,520.6
force-save-2011.03.22-19.29.05.jpk-force,Wide,56.08,10.22,515.2
force-save-2011.03.22-19.30.29.jpk-force,Wide,121.9,10.27,455.8
force-save-2011.03.22-19.31.53.jpk-force,Wide,168.9,10.26,514.2
force-save-2011.03.22-19.34.24.jpk-force,Wide,356.6,11.27,501.8
force-save-2011.03.22-19.35.48.jpk-force,Wide,523.2,11.11,403
force-save-2011.03.22-19.37.12.jpk-force,Wide,588.3,11.14,376
force-save-2011.03.22-19.38.36.jpk-force,Wide,38.77,11.34,395.9
force-save-2011.03.22-19.40.00.jpk-force,Wide,80.13,11.27,385.3
force-save-2011.03.22-19.43.38.jpk-force,Wide,203.9,10.81,347.2
force-save-2011.03.22-19.45.01.jpk-force,Wide,250.1,10.76,334.7
force-save-2011.03.22-19.46.25.jpk-force,Wide,293.7,11.25,334.7
force-save-2011.03.22-19.47.49.jpk-force,Wide,351.4,11.1,320.7
force-save-2011.03.22-19.49.13.jpk-force,Wide,458,10.61,380.3
force-save-2011.03.22-19.51.24.jpk-force,Wide,506.2,10.24,1102
force-save-2011.03.22-19.52.48.jpk-force,Wide,556.7,10.28,776.2
force-save-2011.03.22-19.54.12.jpk-force,Wide,85.7,10.22,957.7
force-save-2011.03.22-19.55.36.jpk-force,Wide,101.8,10.24,730
force-save-2011.03.22-19.57.00.jpk-force,Wide,159.9,10.15,797.2
force-save-2011.03.22-19.59.46.jpk-force,Wide,72.5,10.74,1162
force-save-2011.03.22-20.01.10.jpk-force,Wide,119.6,10.67,1029
force-save-2011.03.22-20.02.34.jpk-force,Wide,126,10.82,1040
force-save-2011.03.22-20.03.58.jpk-force,Wide,172.5,11.08,897.8
force-save-2011.03.22-20.05.22.jpk-force,Wide,240.7,11.13,782.4
force-save-2011.03.23-17.09.42.jpk-force,null,,,
force-save-2011.03.23-17.11.18.jpk-force,null,,,
force-save-2011.03.23-17.12.12.jpk-force,null,,,
force-save-2011.03.23-17.51.27.jpk-force,null,,,
force-save-2011.03.24-18.54.13.jpk-force,null,,,
force-save-2011.03.24-18.55.25.jpk-force,null,,,
force-save-2014.05.23-17.50.39.jpk-force,Wide,-132.1,94.76,143.8
